symbol,name,date,price
PCLN,Priceline.com Inc,Jan 2013,670.26
PCLN,Priceline.com Inc,Feb 2013,692.59
PCLN,Priceline.com Inc,Mar 2013,704.99
PCLN,Priceline.com Inc,Apr 2013,704.55
PCLN,Priceline.com Inc,May 2013,776.55
PCLN,Priceline.com Inc,Jun 2013,814.77
PCLN,Priceline.com Inc,Jul 2013,889.11
PCLN,Priceline.com Inc,Aug 2013,938.63
PCLN,Priceline.com Inc,Sep 2013,982.39
PCLN,Priceline.com Inc,Oct 2013,1045.94
PCLN,Priceline.com Inc,Nov 2013,1119.24
PCLN,Priceline.com Inc,Dec 2013,1178.19
